geo,gender,age_group,stage,population_pred,year,operator
Quebec,Men+,-1 year,after_aging,0.0,2022,fixed20
Quebec,Men+,0 to 4 years,after_aging,175235.2,2022,fixed20
Quebec,Men+,5 to 9 years,after_aging,235738.40000000002,2022,fixed20
Quebec,Men+,10 to 14 years,after_aging,240464.0,2022,fixed20
Quebec,Men+,15 to 19 years,after_aging,223048.4,2022,fixed20
Quebec,Men+,20 to 24 years,after_aging,242340.0,2022,fixed20
Quebec,Men+,25 to 29 years,after_aging,279992.0,2022,fixed20
Quebec,Men+,30 to 34 years,after_aging,285715.4,2022,fixed20
Quebec,Men+,35 to 39 years,after_aging,287046.2,2022,fixed20
Quebec,Men+,40 to 44 years,after_aging,296813.80000000005,2022,fixed20
Quebec,Men+,45 to 49 years,after_aging,273974.80000000005,2022,fixed20
Quebec,Men+,50 to 54 years,after_aging,267301.60000000003,2022,fixed20
Quebec,Men+,55 to 59 years,after_aging,303018.8,2022,fixed20
