alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.14,0.155,12581.422275836156,12355.374416999053,15402.538582906593,12053.04462473467
0.155,0.12,12636.670045315632,12498.31391633428,14627.40495664411,12781.58037526533
0.22,0.2,12670.24277668856,12546.840583000952,14431.329956644098,13020.325375265325
0.225,0.26,12670.678296615073,12470.639416999067,15451.163582906593,11919.10962473473
0.16,0.18,12736.795562166579,12519.166083665681,15554.073582906509,12157.854624734668
0.2,0.175,12836.084481693542,12710.6322496676,14666.359956644126,13125.135375265265
0.265,0.255,12871.741642907495,12759.158916334292,14470.284956644173,13363.88037526526
0.18,0.205,12892.602296049366,12682.957750332347,15705.608582906541,12262.664624734665
0.18,0.15,13002.09735712934,12874.423916334286,14901.389956644096,13229.94537526532
0.245,0.23,13037.1607210653,12922.950583000958,14705.314956644143,13468.690375265316
0.2,0.23,13048.826951029716,12846.749416999053,15857.143582906574,12367.474624734721
0.135,0.15,13115.454978406267,12895.276083665725,15960.053582906607,12606.219624734658
0.16,0.125,13168.274929143714,13038.215583000934,15136.419956644066,13334.755375265318
0.225,0.205,13202.758972054562,13086.742249667645,14940.344956644112,13573.500375265372
0.22,0.255,13205.454694704424,13010.54108366574,16008.678582906607,12472.284624734719
0.155,0.175,13271.15910795312,13059.067750332431,16111.588582906581,12711.029624734772
0.24,0.28,13362.471352710625,13174.332750332405,16160.213582906581,12577.094624734716
0.205,0.18,13368.52973754392,13250.53391633431,15175.37495664414,13678.310375265311
0.27,0.26,13404.999556985422,13299.060583000924,14979.29995664407,13917.055375265307
0.175,0.2,13427.27175969713,13222.85941699904,16263.123582906555,12815.839624734712
0.185,0.155,13534.466678638413,13414.32558300092,15410.404956644052,13783.12037526531
0.25,0.235,13570.356293642133,13462.85224966763,15214.329956644098,14021.865375265363
0.195,0.225,13583.778848724865,13386.651083665725,16414.658582906588,12920.64962473471
0.13,0.145,13649.984614729321,13435.177750332397,16517.568582906562,13159.394624734705
0.165,0.13,13700.563757338708,13578.117249667606,15645.43495664408,13887.930375265307
0.23,0.21,13735.88675012119,13626.643916334297,15449.359956644126,14126.675375265302
0.215,0.25,13740.666897043971,13550.442750332411,16566.19358290662,13025.459624734707
